iter	Passed	Remaining
870	1944	288
871	1946	285
872	1947	283
873	1950	281
874	1953	279
875	1954	276
876	1956	274
877	1958	272
878	1959	269
879	1961	267
880	1963	265
881	1967	263
882	1968	260
883	1970	258
884	1971	256
885	1972	253
886	1974	251
887	1975	249
888	1977	246
889	1978	244
890	1982	242
891	1983	240
892	1985	237
893	1986	235
894	1987	233
895	1988	230
896	1991	228
897	1993	226
898	1998	224
899	1999	222
900	2001	219
901	2002	217
902	2005	215
903	2013	213
904	2016	211
905	2018	209
906	2020	207
907	2024	205
908	2029	203
909	2031	200
910	2033	198
911	2036	196
912	2038	194
913	2046	192
914	2049	190
915	2050	188
916	2052	185
917	2054	183
918	2057	181
919	2060	179
920	2062	176
921	2064	174
922	2066	172
923	2067	170
924	2069	167
925	2074	165
926	2076	163
927	2078	161
928	2079	158
929	2081	156
930	2082	154
931	2085	152
932	2096	150
933	2097	148
934	2099	145
935	2105	143
936	2108	141
937	2110	139
938	2112	137
939	2114	134
940	2116	132
941	2122	130
942	2123	128
943	2125	126
944	2126	123
945	2127	121
946	2128	119
947	2130	116
948	2131	114
949	2137	112
950	2140	110
951	2141	107
952	2143	105
953	2145	103
954	2146	101
955	2153	99
956	2155	96
957	2157	94
958	2159	92
959	2161	90
960	2163	87
961	2166	85
962	2168	83
963	2169	81
964	2171	78
965	2172	76
966	2174	74
967	2179	72
968	2181	69
969	2183	67
970	2184	65
971	2185	62
972	2187	60
973	2197	58
974	2198	56
975	2200	54
976	2201	51
977	2202	49
978	2208	47
979	2209	45
980	2210	42
981	2212	40
982	2213	38
983	2214	36
984	2216	33
985	2218	31
986	2223	29
987	2224	27
988	2226	24
989	2227	22
990	2228	20
991	2231	17
992	2237	15
993	2239	13
994	2241	11
995	2242	9
996	2244	6
997	2246	4
998	2248	2
999	2249	0
